Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
CM11,30/02/2012,10:15,27/06/2012,12:15,False,AMPHI,FA100,True
CM11,30/02/2012,8:00,27/06/2012,10:00,False,TD,FA417,True
CM11,29/02/2012,14:30,27/06/2012,18:30,False,TP,ES208,True
TN01,31/02/2012,14:15,27/06/2012,15:15,False,AMPHI,FA104,True
TN01,27/02/2012,8:15,27/06/2012,11:15,False,TD,FA512,True
LA02,28/02/2012,10:15,27/06/2012,12:15,False,TD,FB214,True
LA02,30/02/2012,13:15,27/06/2012,14:15,False,TP,FB214,True
LG61,31/02/2012,16:30,27/06/2012,18:30,False,TD,FC201,True
LG61,27/02/2012,16:30,27/06/2012,17:30,False,TP,FA410,True
GE10,28/02/2012,13:00,27/06/2012,14:00,False,AMPHI,FA201,True
GE10,27/02/2012,14:15,27/06/2012,16:15,False,TD,FA306,True
SY01,31/02/2012,8:00,27/06/2012,10:00,False,AMPHI,FA104,True
SY01,31/02/2012,10:15,27/06/2012,12:15,False,TD,FA505,True
NF02,28/02/2012,8:30,27/06/2012,10:00,False,AMPHI,FA212,True
NF02,30/02/2012,16:30,27/06/2012,18:30,False,TD,FA418,True
NF02,28/02/2012,14:15,27/06/2012,16:15,False,TP,RJ221,True
